imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
tt5180240,Primaire,Primaire,2016,2017-01-04,"Drama, Family",105,France,French,Hélène Angel,"Hélène Angel, Hélène Angel",Lionceau Films,"Sara Forestier, Vincent Elbaz, Albert Cousi, Ghillas Bendjoudi, Guilaine Londez, Hannah Brunt, Olivia Côte, Patrick d'Assumçao, Lucie Desclozeaux, Denis Sebbah, Frédéric Boismoreau, Laure Calamy, Anne Bouvier, Antoine Gouy, Éric Bougnon","Hot on the heels of its recent January release in France, this is a vivacious and emotionally gripping story of a teacher caught between passion for her students and love for her child. ...",6.6,394,,,$ 1225280,,2.0,23.0
tt5180478,Salt Mango Tree,Salt Mango Tree,2015,2015-11-06,"Comedy, Family",123,India,Malayalam,Rajesh Nair,Vinod Vijayakumar Vinod Jayakumar,1000 Lights Entertainments,"Biju Menon, Lakshmi Priyaa Chandramouli, Suhasini, Kristian Varkichan, Jennifer Antony, Indrans, Hareesh Kanaran, Sudheer Karamana, Pradeep Kottayam, Jayaprakash Kuloor, Saiju Kurup, Paris Laxmi, Vijay Menon, Ambika Mohan, Sarayu Mohan","The struggles of a middle-class couple to admit their 4-year old kid into a reputed school, which involves huge monetary donations, parent interviews, and other activities.",6.1,370,,,,,3.0,1.0
tt5180618,Kôdaike no hitobito,Kôdaike no hitobito,2016,2016-06-04,"Comedy, Romance",116,Japan,Japanese,Masato Hijikata,"Kozueko Morimoto, Arisa Kaneko",Fuji Television Network,"Haruka Ayase, Mao Daichi, Charlotte Kate Fox, Masachika Ichimura, Kaho, Shôtarô Mamiya, Kiko Mizuhara, Takumi Saitoh, Kentarô Sakaguchi, Muga Tsukaji, Takurô Ôno",Who among us does not spend a portion of the time daydreaming or fantasizing? The difference is that for most when it comes to romantic fantasies the subject of our thoughts is unaware of ...,5.7,214,,,$ 6978689,,3.0,5.0
tt5180794,Hîrô mania: Seikatsu,Hîrô mania: Seikatsu,2016,2016-05-07,"Action, Comedy",109,Japan,Japanese,Keisuke Toyoshima,"Shigeyuki Fukumitsu, Jun Tsugita",Django Film,"Masahiro Higashide, Tsurutarô Kataoka, Nana Komatsu, Masataka Kubota, Shizuyo Yamasaki","A vigilante squad made up of a clerk, an underwear thief, an elderly salaryman, and a cute girl get more trouble than they bargained for.",5.2,105,,,,,2.0,1.0
tt5180856,Na yi tian wo men hui fei,Na yi tian wo men hui fei,2015,2015-11-05,"Comedy, Romance",108,Hong Kong,Cantonese,Adam Wong,"Saville Chan, Saville Chan",Eyes Front Pictures,"Miriam Chin Wah Yeung, Jan Lamb, Ranya Lee, Cecilia So, Neo Yau, Siu Hin Ng, Gill Mohindepaul Singh, J. Arie, Isabelle Hoi-Ning Chan, Tsang Ning Chan, Wai-Tung Chan, Yuen-Lam Chan, Amber Cheung, Bondy Chiu, Babyjohn Choi","Unfulfilled at work and dissatisfied with her marital life, a middle-aged woman attends a high school reunion and finds a floodgate of flashbacks of her salad days open before her mind's ...",6.6,403,,,$ 2023892,,4.0,12.0
tt5180888,Sollers Point,Sollers Point,2017,2018-05-18,Drama,101,"USA, France",English,Matthew Porterfield,"Matthew Porterfield, Matthew Porterfield",The Hamilton Film Group,"McCaul Lombardi, Jim Belushi, Tom Guiry, Zazie Beetz, Marin Ireland, Brieyon Bell-El, Everleigh Brenner, Lynn Cohen, Imani Hakim, Kazy Tauginas, Wass Stevens, Alyssa Bresnahan, Ashley Shelton, Greg Crowe, Vincent De Paul","Keith, a twenty-four-year-old newly released from prison and living with his dad under house arrest in Baltimore, is struggling to reestablish himself, within a community scarred by unemployment, neglect, and deeply entrenched segregation.",5.7,602,,$ 32608,$ 32608,73.0,10.0,21.0
tt5181736,Babalarin Babasi,Babalarin Babasi,2016,2016-04-22,Comedy,98,Turkey,"Turkish, English",Rasit Çelikezer,"Nuri Ozgul, Senol Zencir",Imaginative Movie Productions,"Burcu Binici, Erdal Cindoruk, Ismail Demirci, Ömer Gecü, Emre Kentmenoglu, Menderes Samancilar, Burak Satibol, Aysen Sezerel, Ali Sürmeli, Ayhan Tas, Abidin Yerebakan",,5.2,357,TRL 3000000,,$ 114540,,,
tt5181834,The Rocket,The Rocket,2018,2018-01-23,"Family, Sport",89,USA,English,Richard Blake,Richard Blake,Amberock Productions,"Brady Tutton, Richard Blake, Terry King, Jordan Littel, Patrick Webb, Leah Schiman, Allison Belmont, Grayson Alexander Miller, Carl Ciske, Dawn Holt Lauber, Nickolaus Schnetzky, Jon Hatje, Noah Chartrand, Mason Markee, Brendan Sullivan","With grand expectations from his father and the local community, a high school football star's entire future is suddenly lost, and he must find a new way to push towards greatness.",4.7,211,$ 26000,,,,32.0,2.0
tt5181852,Slumber: Il demone del sonno,Slumber,2017,2018-02-01,Horror,84,"UK, USA",English,Jonathan Hopkins,"Richard Hobley, Jonathan Hopkins",Tea Shop Productions,"Maggie Q, Will Kemp, Sophia Wiseman, Kristen Bush, Sam Troughton, Lucas Bond, Honor Kneafsey, Sylvester McCoy, Vincent Andriano, William Hope, William Rhead, Zahra Wardhana-O'Reilly, Okon Jones, William Todd-Jones, Oliver Englehart",A sleep doctor tries to protect a family from a demon that feeds on people in their nightmares.,4.7,3589,,,$ 1243832,,50.0,29.0
tt5182526,Ben,Ben,2015,2015-11-01,"Drama, Family",115,India,Malayalam,Vipin Atley,Vipin Atley,Vibgor Cinema,"Gourav Menon, Suraj Venjaramoodu, Anjali Nair, Anwar, Adhish Praveen, Shaji Suhail, Aju Varghese",The story of a boy named Ben who enjoys his simple countryside life and is forced to move to a highly ranked school where he doesn't fit in. The rest of the movie shows how Ben is driven mentally insane by his selfish mother.,7.3,156,,,,,2.0,
tt5183500,The Terror of Hallow's Eve,The Terror of Hallow's Eve,2017,2018-12-21,"Drama, Horror, Thriller",80,USA,English,Todd Tucker,"Ronald L. Halvas, Todd Tucker",Illusion Industries,"Caleb Thomas, Sarah Lancaster, Annie Read, JT Neal, Mcabe Gregg, Niko Papastefanou, Doug Jones, Christie Nicole Chaplin, Christian Kane, Brett Stimely, Eric Roberts, Reatha Grey, Jentzen Ramirez, Damaris Diaz, Chelsea Marie Mckenzie","After a fifteen-year-old is brutally beaten up by High School bullies, his wish for revenge unknowingly unleashes the Terror of Halloween.",5.1,588,,,,,28.0,17.0
tt5183594,Vida de Familia,Vida de Familia,2017,2017-01-26,"Comedy, Drama",80,Chile,Spanish,"Cristián Jiménez, Alicia Scherson","Alejandro Zambra, Cristián Jiménez",Peso Pluma,"Jorge Becker, Gabriela Arancibia, Blanca Lewin, Cristián Carvajal, Lucas Miranda, Alejandra Yañez","A young man spends a few weeks housekeeping for a relatively distant relative and enjoys taking over the comfort of their lives in Santiago. Soon, he meets a cute neighbor and starts ...",6.2,123,,,,,,10.0
tt5183610,Strawberry Bubblegums,Strawberry Bubblegums,2016,2016-09-14,"Comedy, Drama",89,Germany,German,Benjamin Teske,Cherokee Agnew,Wüste Medien,"Gloria Endres de Oliveira, André Hennicke, Jasmin Tabatabai, Eva Nürnberg, David Schütter, Ronald Nitschke, Lars Rudolph, Lo Rivera, Michael Lott, Janna Horstmann, Max Mauff, Alice Dwyer, Sabin Tambrea, Daniel Nerlich, Malte Niklas Thomsen","17-year-old Lucy discovers that her mother was once a porn actress and that her birth was the product of an accident ""on set."" She sets out to find her father, a journey that takes her into the depths of the adult entertainment industry.",6.1,124,,,,,,4.0
