imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
tt0321997,Detention - Duro a morire,Detention,2003,2003-09-05,"Action, Drama, Thriller",98,"USA, Canada","English, Hungarian",Sidney J. Furie,"Paul Lynch, John Sheppard",Millennium Films,"Dolph Lundgren, Alex Karzis, Kata Dobó, Corey Sevier, Dov Tiefenbach, K.C. Collins, Mpho Koaho, Larry Day, Jennifer Baxter, Danielle Hampton, Nicole Dicker, Joseph Scoren, Mif, Roy Lewis, Shawn Roberts",A heroic high school teacher leads a band of students trapped in school by violent drug-runners.,4.1,2159,CAD 5000000,,$ 16324,,33.0,11.0
tt0322005,The Deviants,The Deviants,2004,2004-05-29,"Comedy, Romance",80,USA,English,Reid Waterer,"Doug Dezzani, Reid Waterer",Green Band Pictures,"Doug Dezzani, Tamara 'Gingir' Curry, Johanna Black, Parry Shen, Jeff Pierce, Emily Petta, Tiffany Shepis, Brad Yoder, Ana Mercedes, Christopher Bradley, Randy Becker, Angel Boris Reed, David Goldman, Shauna Sand, Pierre Sauvé",A comedy about a matchmaker for people with hilarious dating problems.,5.1,283,,,,,5.0,3.0
tt0322023,Piccole bugie travestite,"Die, Mommie, Die!",2003,2003-10-31,Comedy,90,USA,English,Mark Rucker,"Charles Busch, Charles Busch",Aviator Films,"Charles Busch, Angela Paton, Jason Priestley, Natasha Lyonne, Frances Conroy, Philip Baker Hall, Stark Sands, Joshua Farrell, Victor Raider-Wexler, Nora Dunn, Christopher McDaniel, Tom Hughes, Stanley DeSantis, Paul Vinson",An ex-pop singer kills her much-hated husband to be with her young lover. Her daughter plots Electra-like revenge.,6.5,1944,,$ 320092,$ 320092,54.0,46.0,34.0
tt0322027,Dil Tera Diwana,Dil Tera Diwana,1996,1996,Drama,139,India,Hindi,Lawrence D'Souza,"Nawab Arzoo, Nawab Arzoo",Chiragdeep International,"Saif Ali Khan, Twinkle Khanna, Shatrughan Sinha, Dalip Tahil, Shakti Kapoor, Harish Patel, Raju Shrestha, Guddi Maruti, Raman Nayya, Vishwajeet Pradhan, Tiku Talsania, Ghanshyam Rohera, Raju Subramaniam, Aadesh Shrivastava","Flamboyant, dashing and handsome, Kumar, is the proud father of Ravi, his only son, and his pride and joy. When Ravi grows up, he meets with Komal, both fall in love with each other and ...",5.0,166,,,,,1.0,
tt0322082,Rencontre avec le dragon,Rencontre avec le dragon,2003,2003-08-06,Drama,109,"France, Luxembourg",French,Hélène Angel,"Hélène Angel, Jean-Claude Janer",Diaphana Films,"Daniel Auteuil, Nicolas Nollet, Sergi López, Emmanuelle Devos, Titoff, Gilbert Melki, Maurice Garrel, Claude Perron, Frédéric Proust, Jean-François Gallotte, Bernard Blancan, Arno Feffer, Rewan Aggoune, Didier Agostini, Raphaël Beauville","Who really is behind the legend of ""Red Dragon""?",4.5,291,,,$ 649098,,3.0,7.0
tt0322110,Dvoynikat,Dvoynikat,1980,1980-03-17,Comedy,98,Bulgaria,Bulgarian,Nikolay Volev,Bratya Mormarevi,Boyana Film,"Todor Kolev, Pavel Popandov, Yordanka Kuzmanova, Radosveta Vassileva, Lyuben Kalinov, Georgi Rusev, Nadya Todorova, Aneta Sotirova, Ivan Yanchev, Georgi Mamalev, Kina Mutafova, Tanya Vuchkova, Eva-Maria Radichkova, Georgi Georgiev, Ivan Kutevski","Prof. Denev is a talented scientist, but he cannot divide his time between the social and the scientific life. Suddenly he gets the idea to bring his cousin Ivan from the village. They look...",8.4,591,,,,,,
tt0322120,E=mc2,E=mc2,2002,2002-08-23,"Action, Comedy",93,Poland,"Polish, Russian, Vietnamese",Olaf Lubaszenko,Robert Maka,Best Film,"Cezary Pazura, Olaf Lubaszenko, Agnieszka Wlodarczyk, Renata Dancewicz, Edward Linde-Lubaszenko, Jan Nowicki, Miroslaw Zbrojewicz, Andrzej Grabowski, Szymon Majewski, Tomasz Sapryk, Piotr Siejka, Emilia Krakowska, Leon Niemczyk, Maciej Kozlowski, Zbigniew Suszynski","The film tells about mainly three people - Max, a bored, smart, poor University Professor of Philosophy; Ramzes, a mafia leader, cool, strong, merciless bully and Stella, Ramzes girlfriend.",5.6,1602,PLN 3200000,,$ 1353035,,2.0,
tt0322125,Ébrenjárók,Ébrenjárók,2002,2002-09-05,"Drama, Mystery",102,Hungary,Hungarian,Bence Miklauzic,"Balázs Maruszki, Bence Miklauzic",,"György Gazsó, Eszter Márkó, Péter László, Sándor Almási, Csaba Pindroch, Péter Bozsó, Tamás Molnár, László Hunyadi, Ferenc Lengyel, Zsolt Kovács, János Kardos, Imre Csuja, János Herskó, Péter Gothár, József Kelemen",,6.7,146,,,,,2.0,1.0
tt0322132,Edhak el soura tetlaa helwa,Edhak el soura tetlaa helwa,1999,1999-10-22,"Comedy, Drama, Romance",113,Egypt,Arabic,Sharif Arafah,Wahid Hamid,,"Ahmed Zaki, Sanaa Gameel, Layla Olwi, Mona Zaki, Karim Abdel Aziz, Ezzat Abu Auf, Hassan Abdel Fattah, Tamer Abdelmonem, Neemaat Abdulnasser, Sharif Arafah, Youssef Eid, Hassan El Deib, Layla Al Eskandraniya, Fouad Farghaly, Zayed Fouad","A poor photographer fighting to live a decent life with dignity, while taking care of his mother and daughter .",6.9,741,,,,,1.0,
tt0322177,Drengen der ville gøre det umulige,Drengen der ville gøre det umulige,2002,2002-12-18,"Animation, Family",75,"Denmark, France","Danish, Swedish",Jannik Hastrup,"Bent Haller, Michel Fessler",Dansk Tegnefilm,"Marlon Vilstrup, Joachim Boje Helvang, Otto Brandenburg, Paprika Steen, Anne Clausen, Tommy Kenter, Thomas Bo Larsen, Sidse Babett Knudsen, Carla Docherty, Claus Ryskjær, Jesper Klein, Lisbet Dahl, Ellen Hillingsø, Anne-Lise Gabold, William Tarding","When a boy child is stolen by bears who raise him as their own, his human parents hunt the bears in despair, and the boy is faced with the dilemma of who and what he is.",6.8,375,DKK 32400000,,$ 806725,,4.0,8.0
tt0322189,Efapax,Efapax,2001,2001-11-30,Comedy,85,Greece,Greek,Nikos Zapatinas,Nikos Zapatinas,Alpha TV,"Petros Filippidis, Evelina Papoulia, Maria Martika, Vassilis Halakatevakis, Matthildi Maggira, Aspasia Tzitzikaki, Silvia Venizelea, Afroditi Al-Saleh, Iosif Vardakis, Katerina Skourli, Tania Kapsali, Giannis Bezos, Anastasios Vasiliou, Kalli Preponi, Fenia Fermanoglou","Pantelis is a middle-aged refuse clerk at the municipality. The time of retirement has now arrived. His wife is anxious to collect the 30,000 euros retirement bonus of Pantelis.",6.4,720,,,,,3.0,
tt0322241,Angel Killer,Fallen Angels,2002,2002-08-30,"Horror, Thriller",97,"UK, Canada",English,Ian David Diaz,"Julian Boote, Michael Derbas",Avrio Filmworks,"Michael Ironside, Jeff Fahey, Kai Wiesinger, Esme Eliot, Cassandra Bell, Dallas Campbell, Elly Fairman, Emma Willis, Max Brown, Melissa Simonetti, Tony Arunah Abbey, Shawn Graham, Emily Booth, Mara Ashton, Nick Ewans","Abandoned and filled with a mysterious past, Holy Angel School for Girls is about to reveal its secrets of betrayal, jealousy, and vengeance. Rumours of haunting, paired with the desire to ...",4.0,276,,,,,5.0,4.0
tt0322250,Fara,Fara,1999,1999-07-01,"Drama, Thriller",89,"Russia, Kazakhstan",Russian,Abai Karpykov,"Boris Airapetyan, Leila Akhinzhanova",ABA Studio,"Farkhad Abdraimov, Christina Orbakaite, Aleksandr Aleksandrov, Dauren Sarsekeyev, Zhumabaj Medetbayev, Peter Zhmutski",,6.4,118,,,,,,
tt0322259,2 Fast 2 Furious,2 Fast 2 Furious,2003,2003-06-20,"Action, Crime, Thriller",107,"USA, Germany","English, Spanish",John Singleton,"Gary Scott Thompson, Michael Brandt",Universal Pictures,"Paul Walker, Tyrese Gibson, Eva Mendes, Cole Hauser, Ludacris, Thom Barry, James Remar, Devon Aoki, Amaury Nolasco, Michael Ealy, Jin Au-Yeung, Edward Finlay, Mark Boone Junior, Mo Gallini, Roberto 'Sanz' Sanchez",Former cop Brian O'Conner is called upon to bust a dangerous criminal and he recruits the help of a former childhood friend and street racer who has a chance to redeem himself.,5.9,246757,$ 76000000,$ 127154901,$ 236350661,38.0,418.0,113.0
tt0322289,Il fiore del male,La fleur du mal,2003,2003-02-14,Drama,104,France,French,Claude Chabrol,"Caroline Eliacheff, Louise L. Lambrichs",MK2 Productions,"Nathalie Baye, Benoît Magimel, Suzanne Flon, Bernard Le Coq, Mélanie Doutey, Thomas Chabrol, Henri Attal, Kevin Ahyi, Françoise Bertin, Jérôme Bertin, Caroline Baehr, Didier Bénureau, Yvon Crenn, Michèle Dascain, Jean-Marc Druet","Three generations of a wealthy Bordeaux family are caught in the crossfire when Anne decides to run for mayor, thanks to a political pamphlet that revives an old murder scandal.",6.5,2925,,$ 182163,$ 7587959,67.0,36.0,63.0
tt0322298,El fondo del mar,El fondo del mar,2003,2003-08-28,"Drama, Thriller",92,Argentina,Spanish,Damián Szifron,Damián Szifron,Aeroplano Cine,"Daniel Hendler, Dolores Fonzi, Gustavo Garzón, José Palomino Cortez, Daniel Valenzuela, Ignacio Mendi, Ramiro Agüero, Rafael Filippelli, Diego Peretti, Alejandro Fiore, Humberto Serrano, Jorge D'Elía, Manuel Vicente, Jorge Alberto Gómez, Fernando Sureda","Toledo, 25 years old, future architect, suffers from an acute jealousy. He cannot concentrate on his job nor on his studies, being continuously mindful of his girlfriend and concubine Ana's...",6.7,1148,,,$ 220704,,6.0,5.0
tt0322330,Quel pazzo venerdì,Freaky Friday,2003,2003-11-28,"Comedy, Family, Fantasy",97,USA,"English, Mandarin",Mark Waters,"Mary Rodgers, Heather Hach",Casual Friday Productions,"Jamie Lee Curtis, Lindsay Lohan, Mark Harmon, Harold Gould, Chad Michael Murray, Stephen Tobolowsky, Christina Vidal, Ryan Malgarini, Haley Hudson, Rosalind Chao, Lucille Soong, Willie Garson, Dina Spybey-Waters, Julie Gonzalo, Christina Marie Walter","An overworked mother and her daughter do not get along. When they switch bodies, each is forced to adapt to the other's life for one freaky Friday.",6.2,122538,$ 20000000,$ 110230332,$ 160846332,70.0,291.0,134.0
